speed[%],acceleration[%],->A+100-000+100,A+100-000+100->B+050-100-000,B+050-100-000->C+100-100+050,C+100-100+050->D+100-000+050,D+100-000+050->E+150-000+050,E+150-000+050->F+050+050-000,F+050+050-000->G+050+100+050,G+050+100+050->A+100-000+100,
,displacement[mm],0,1500.00033318567,707.106781186545,999.999999999996,499.999999999993,1224.74487139159,707.106781186564,1224.74439077433,
10,100,55.3327768783531,1484.35350748592,1127.948663898,1394.85307576341,1061.02585065432,2157.77321824645,2629.11264765055,2765.70110645331,
20,100,55.0018223925772,816.211194990671,744.400039570282,876.696518366388,607.625846724013,1200.36925776085,1620.56111836816,1669.857969882,
30,100,54.9949433591446,669.949830912624,647.807866145649,741.383855567224,466.134212491775,906.670463093567,1297.67454262191,1344.43968950584,
40,100,54.985743175716,659.398347721189,618.416430914453,695.206528536901,410.743032470263,781.452364253938,1151.67868228987,1220.81078100118,
50,100,52.2580400551788,720.203442927018,643.193682706065,725.991344419289,417.288136746599,758.467859805808,1073.21412480616,1181.79659174843,
60,100,43.283904,820.380088106063,718.24165274015,744.397095560272,435.67672620128,764.639812949215,1069.35388214016,1177.83796421089,
70,100,43.283904,930.782277577392,752.905939646529,848.394246387377,497.4193880585,795.635873546877,1044.17502276926,1199.39396236025,
80,100,43.283904,1062.2264578705,832.48356125489,929.723640846455,560.278535685606,832.198706280347,1064.94623628527,1230.43873496834,
90,100,43.283904,1226.77703976265,891.638236755896,1029.59023552459,623.803804421624,877.11070446648,1097.40475524518,1275.28278253577,
100,100,43.283904,1315.44960551746,903.427492340626,1100.74648137809,665.295189745486,929.318629301465,1130.73898181889,1328.40291941988,
