length	num	min_d	max_d = ct	start_idle	movement_d	end_idle
20	01	0.324	0.6	0.0	0.3598027845519634	0.24019721544803657
20	02	0.324	0.6	0.0	0.6	0.0
20	03	0.324	0.972	0.5354632710062666	0.43653672899373347	0.0
20	04	0.324	0.984	0.0	0.4211126187303067	0.5628873812696933
20	05	0.3	0.696	0.0	0.696	0.0
20	06	0.312	1.308	0.0	1.308	0.0
20	07	0.312	1.308	0.0	1.308	0.0
40	01	0.408	1.116	0.0	1.116	0.0
40	02	0.408	1.116	0.0	1.116	0.0
40	03	0.396	1.788	1.2397553954664355	0.5482446045335645	0.0
40	04	0.396	1.788	0.0	1.788	0.0
40	05	0.372	1.296	0.0	1.296	0.0
40	06	0.432	2.412	0.0	2.412	0.0
40	07	0.432	2.412	0.0	2.412	0.0
80	01	0.552	2.424	0.0	2.424	0.0
80	02	0.552	2.424	0.0	2.424	0.0
80	03	0.552	3.504	2.732042349002383	0.7719576509976173	0.0
80	04	0.552	3.504	0.0	0.8175078379361219	2.686492162063878
80	05	0.528	2.784	0.0	2.784	0.0
80	06	0.684	4.896	0.0	4.896	0.0
80	07	0.684	4.896	0.0	4.896	0.0
120	01	0.756	4.356	0.0	4.356	0.0
120	02	0.756	4.356	0.0	4.356	0.0
120	03	0.72	5.424	4.461880893516633	0.9621191064833672	0.0
120	04	0.72	5.424	0.0	1.0609829225085745	4.363017077491426
120	05	0.744	4.572	0.0	4.572	0.0
120	06	0.9	6.816	0.0	6.816	0.0
120	07	0.852	6.312	0.0	6.312	0.0
